"","Cell","Batch","Group","ExpLibSize","time","sizeFactor","scSTM_cluster","seurat_cluster","cidr_cluster","raceID_cluster"
"Cell22","Cell22","Batch1","Group1",40036.1125517779,2,0.646399545193423,"topic_3","5",1,2
"Cell23","Cell23","Batch1","Group5",59816.6918612057,1,0.992367250261078,"topic_1","4",2,4
"Cell24","Cell24","Batch1","Group5",82907.0766676368,2,1.33500865788965,"topic_1","4",2,2
"Cell25","Cell25","Batch1","Group5",60368.8946188091,1,0.987041897218216,"topic_1","4",2,2
"Cell26","Cell26","Batch1","Group1",53675.2820724614,2,0.873652841659431,"topic_3","5",1,1
"Cell27","Cell27","Batch1","Group5",44511.5008665036,2,0.72804949661675,"topic_1","4",2,4
"Cell28","Cell28","Batch1","Group5",62857.7382316896,2,1.03318403312191,"topic_1","4",2,2
"Cell29","Cell29","Batch1","Group5",63002.612647148,1,1.03080810637971,"topic_1","4",2,4
"Cell30","Cell30","Batch1","Group5",77108.4244916801,1,1.23743180444275,"topic_1","4",2,2
"Cell31","Cell31","Batch1","Group5",59571.3022271119,2,0.97581769157403,"topic_1","4",2,2
"Cell32","Cell32","Batch1","Group1",40329.9954442349,2,0.643695904417816,"topic_3","5",1,1
"Cell33","Cell33","Batch1","Group5",60223.0996376047,1,0.989991323518878,"topic_1","4",2,2
"Cell34","Cell34","Batch1","Group1",65947.9103369898,2,1.09230364474851,"topic_3","5",1,1
"Cell35","Cell35","Batch1","Group4",47617.2073061005,1,0.775961288300837,"topic_2","12",3,3
"Cell36","Cell36","Batch1","Group3",101368.301524888,2,1.67221001256367,"topic_4","10",4,5
"Cell37","Cell37","Batch1","Group3",52470.1053825227,2,0.873259584819343,"topic_4","10",4,5
"Cell38","Cell38","Batch1","Group5",57047.7276486018,2,0.929020127603526,"topic_1","4",2,2
"Cell39","Cell39","Batch1","Group5",41809.356712612,2,0.686970542529196,"topic_1","4",2,2
"Cell40","Cell40","Batch1","Group5",69973.5338979113,2,1.12923701631347,"topic_1","4",2,2
"Cell41","Cell41","Batch1","Group5",50766.394292715,2,0.827527091457412,"topic_1","4",2,2
"Cell42","Cell42","Batch1","Group5",50706.1522745111,1,0.830279889338029,"topic_1","4",2,2
"Cell43","Cell43","Batch1","Group5",42076.3981735647,2,0.696834734934743,"topic_1","4",2,2
"Cell44","Cell44","Batch1","Group5",56706.9509966123,2,0.923809474472356,"topic_1","4",2,2
"Cell45","Cell45","Batch1","Group4",53654.3047826806,2,0.88025627943258,"topic_2","12",3,3
"Cell46","Cell46","Batch1","Group1",60143.2780818797,2,0.997315732165522,"topic_3","5",1,1
"Cell47","Cell47","Batch1","Group1",63952.2531090066,2,1.04719380805005,"topic_3","5",1,1
"Cell48","Cell48","Batch1","Group5",47043.7674243825,2,0.769800264472788,"topic_1","4",2,2
"Cell49","Cell49","Batch1","Group3",53007.0268082807,1,0.870310158518681,"topic_4","10",4,5
"Cell50","Cell50","Batch1","Group2",59382.3685898728,2,0.974342978423699,"topic_5","7",2,2
"Cell51","Cell51","Batch1","Group1",89537.4104648434,2,1.45950721918093,"topic_3","5",1,1
"Cell52","Cell52","Batch1","Group5",97779.2387981904,1,1.58774172045305,"topic_1","4",2,2
"Cell53","Cell53","Batch1","Group5",61029.2245794704,2,1.00341121318689,"topic_1","4",2,2
"Cell54","Cell54","Batch1","Group4",63011.5900784978,2,1.03577297398582,"topic_2","12",3,3
"Cell55","Cell55","Batch1","Group1",60165.2633049049,1,0.997004403833785,"topic_3","5",1,1
"Cell56","Cell56","Batch1","Group5",46149.2578714777,2,0.740469858482871,"topic_1","4",2,2
"Cell57","Cell57","Batch1","Group3",74377.8147453552,2,1.21442627929759,"topic_4","10",4,5
"Cell58","Cell58","Batch1","Group1",73327.2290423967,2,1.22350395802296,"topic_3","5",1,1
"Cell59","Cell59","Batch1","Group1",67312.06618328,2,1.0939094435122,"topic_3","5",1,1
"Cell60","Cell60","Batch1","Group3",67074.2928478688,2,1.09880876831164,"topic_4","10",4,5
"Cell61","Cell61","Batch1","Group5",71716.9732400985,1,1.15815777976162,"topic_1","4",2,2
"Cell62","Cell62","Batch1","Group3",60832.8650042397,1,0.990810608602395,"topic_4","10",4,5
"Cell63","Cell63","Batch1","Group4",63404.9441837822,2,1.04804586453691,"topic_2","12",3,3
"Cell64","Cell64","Batch1","Group2",42111.757230507,1,0.697129677564809,"topic_5","7",2,4
"Cell65","Cell65","Batch1","Group5",59936.0456771884,2,0.96629759890356,"topic_1","4",2,2
"Cell66","Cell66","Batch1","Group1",67135.5788959066,2,1.09807141173647,"topic_3","5",1,1
"Cell67","Cell67","Batch1","Group5",57681.7184733132,2,0.951648781610272,"topic_1","4",2,2
"Cell68","Cell68","Batch1","Group3",61492.452806015,2,1.01507783277618,"topic_4","10",4,5
"Cell69","Cell69","Batch1","Group4",47562.7504500353,2,0.768112537200742,"topic_2","12",3,3
"Cell70","Cell70","Batch1","Group5",55620.0408610811,2,0.913666725138413,"topic_1","4",2,2
"Cell71","Cell71","Batch1","Group1",57067.9346687761,2,0.927250471823129,"topic_3","5",1,1
"Cell72","Cell72","Batch1","Group5",71471.083587387,2,1.17759122194265,"topic_1","4",2,2
"Cell73","Cell73","Batch1","Group1",62545.6597614319,2,1.02718686631056,"topic_3","5",1,1
"Cell74","Cell74","Batch1","Group2",66211.9876052192,2,1.08357006575822,"topic_5","7",2,4
"Cell75","Cell75","Batch1","Group5",65189.9809998331,2,1.06721713549121,"topic_1","4",2,2
"Cell76","Cell76","Batch1","Group1",50161.6308027481,2,0.834900657209067,"topic_3","5",1,1
"Cell77","Cell77","Batch1","Group5",59412.1071498661,1,0.965642170836746,"topic_1","4",2,2
"Cell78","Cell78","Batch1","Group1",81229.5901066291,2,1.3226046817252,"topic_3","5",1,1
"Cell79","Cell79","Batch1","Group5",56836.7695448972,1,0.918107250291076,"topic_1","4",2,4
"Cell80","Cell80","Batch1","Group1",56144.2253883884,2,0.932297267937595,"topic_3","5",1,1
"Cell81","Cell81","Batch1","Group4",85137.8079025767,1,1.37784088205593,"topic_2","12",3,3
"Cell82","Cell82","Batch1","Group5",72829.8263543036,2,1.20054758998281,"topic_1","4",2,2
"Cell83","Cell83","Batch1","Group3",55356.2888184135,2,0.921974275885278,"topic_4","10",4,5
"Cell84","Cell84","Batch1","Group1",59959.7104711065,1,0.981126658915221,"topic_3","5",1,2
"Cell85","Cell85","Batch1","Group1",51882.2992224246,2,0.853580357113259,"topic_3","5",1,1
"Cell86","Cell86","Batch1","Group5",60984.8650890734,2,1.01298046296237,"topic_1","4",2,2
"Cell87","Cell87","Batch1","Group1",78071.4803114531,2,1.27185816365215,"topic_3","5",1,1
"Cell88","Cell88","Batch1","Group4",70603.838235626,2,1.12461624844243,"topic_2","12",3,3
"Cell89","Cell89","Batch1","Group3",61110.0483414888,2,0.982732457678915,"topic_4","10",4,5
"Cell90","Cell90","Batch1","Group5",67201.3484063825,1,1.09769454059805,"topic_1","4",2,2
"Cell91","Cell91","Batch1","Group4",64110.7393315729,2,1.05445267389001,"topic_2","12",3,3
"Cell92","Cell92","Batch1","Group5",58015.870610976,2,0.94869935530961,"topic_1","4",2,2
"Cell93","Cell93","Batch1","Group1",68271.4303826894,2,1.11414578507508,"topic_3","5",1,1
"Cell94","Cell94","Batch1","Group5",59575.3581187152,1,0.966903869865362,"topic_1","4",2,2
"Cell95","Cell95","Batch1","Group1",51023.5628350411,2,0.841487709280545,"topic_3","5",1,1
"Cell96","Cell96","Batch1","Group1",53537.6111573023,2,0.889383115262962,"topic_3","5",1,1
"Cell97","Cell97","Batch1","Group4",61507.9865584184,2,1.01206286366883,"topic_2","12",3,3
"Cell98","Cell98","Batch1","Group3",52021.3539187971,2,0.836801398602827,"topic_4","10",4,5
"Cell99","Cell99","Batch1","Group3",71293.3629212667,2,1.16684220164691,"topic_4","10",4,5
"Cell100","Cell100","Batch1","Group5",64699.5627325217,2,1.06508699427407,"topic_1","4",2,2
"Cell101","Cell101","Batch1","Group5",56495.7268146624,2,0.938376363257292,"topic_1","4",2,2
"Cell102","Cell102","Batch1","Group1",44763.5303158772,2,0.744975926442216,"topic_3","5",1,1
"Cell103","Cell103","Batch1","Group3",58443.2668443042,2,0.951435767488557,"topic_4","10",4,5
"Cell104","Cell104","Batch1","Group1",73705.5380254431,2,1.21391832254581,"topic_3","5",1,1
"Cell105","Cell105","Batch1","Group1",55291.8144514469,2,0.91496119557037,"topic_3","5",1,1
"Cell106","Cell106","Batch1","Group3",46784.6019947756,1,0.768833508074237,"topic_4","10",4,5
"Cell107","Cell107","Batch1","Group5",73196.3106101536,2,1.20824886976787,"topic_1","4",2,2
"Cell108","Cell108","Batch1","Group2",64434.9747742488,2,1.05492785923845,"topic_5","7",2,4
"Cell109","Cell109","Batch1","Group5",60284.3132262809,2,0.995857404716861,"topic_1","4",2,2
"Cell110","Cell110","Batch1","Group4",53921.2239512737,2,0.883893905203397,"topic_2","12",3,3
"Cell111","Cell111","Batch1","Group5",79802.1062433983,2,1.30453125278281,"topic_1","4",2,2
"Cell112","Cell112","Batch1","Group1",48308.6549651433,2,0.789381177968849,"topic_3","5",1,1
"Cell113","Cell113","Batch1","Group3",62576.2598577021,2,1.02946447884274,"topic_4","10",4,5
"Cell114","Cell114","Batch1","Group5",45463.4549223436,1,0.741469386284762,"topic_1","4",2,4
"Cell115","Cell115","Batch1","Group1",62299.8303914514,2,1.01956751503385,"topic_3","5",1,1
"Cell116","Cell116","Batch1","Group4",73131.9391620947,1,1.20010517603771,"topic_2","12",3,3
"Cell117","Cell117","Batch1","Group1",63704.8392706224,2,1.03533056004072,"topic_3","5",1,1
"Cell118","Cell118","Batch1","Group4",62087.2028846051,2,1.0397055423867,"topic_2","12",3,3
"Cell119","Cell119","Batch1","Group5",81015.4091658236,1,1.31629618658212,"topic_1","4",2,4
"Cell120","Cell120","Batch1","Group5",57977.4428807472,2,0.943128216741692,"topic_1","4",2,2
"Cell121","Cell121","Batch1","Group5",61774.8900181612,1,1.00860548061639,"topic_1","4",2,2
"Cell122","Cell122","Batch1","Group1",59921.990834891,2,0.974949249385502,"topic_3","5",1,1
"Cell123","Cell123","Batch1","Group4",45007.8110810596,2,0.744664598110479,"topic_2","12",3,3
"Cell124","Cell124","Batch1","Group4",71847.7018519967,2,1.17039789890937,"topic_2","12",3,3
"Cell125","Cell125","Batch1","Group3",49552.3899279104,1,0.822250895519561,"topic_4","10",4,5
"Cell126","Cell126","Batch1","Group1",64553.0892832983,2,1.06444795190892,"topic_3","5",1,1
"Cell127","Cell127","Batch1","Group3",43523.0884935989,2,0.704978428664905,"topic_4","10",4,5
"Cell128","Cell128","Batch1","Group1",63002.5509082708,2,1.03333150443694,"topic_3","5",1,1
"Cell129","Cell129","Batch1","Group5",64076.0753863195,1,1.05217506135784,"topic_1","4",2,2
"Cell130","Cell130","Batch1","Group1",47417.0894551364,2,0.781368569852051,"topic_3","5",1,1
"Cell131","Cell131","Batch1","Group3",61070.8342578186,2,1.00008491574781,"topic_4","10",4,5
"Cell132","Cell132","Batch1","Group4",65179.4392012478,2,1.06040068359635,"topic_2","12",3,3
"Cell133","Cell133","Batch1","Group5",53477.3320301078,2,0.872899099382596,"topic_1","4",2,2
"Cell134","Cell134","Batch1","Group1",60439.5472650168,2,0.984911756001071,"topic_3","5",1,1
"Cell135","Cell135","Batch1","Group1",62817.2709706753,2,1.02951363594775,"topic_3","5",1,1
"Cell136","Cell136","Batch1","Group3",57172.2968415277,2,0.94729018496596,"topic_4","10",4,5
"Cell137","Cell137","Batch1","Group1",51243.4898456831,1,0.838472740173202,"topic_3","5",1,2
"Cell138","Cell138","Batch1","Group1",71216.7998948988,2,1.16843161470893,"topic_3","5",1,1
"Cell139","Cell139","Batch1","Group3",67435.6761202288,1,1.11394915665503,"topic_4","10",4,5
"Cell140","Cell140","Batch1","Group5",62661.3855736506,2,1.02671168096212,"topic_1","4",2,2
"Cell141","Cell141","Batch1","Group3",55930.7012692304,2,0.910913927257795,"topic_4","10",4,5
"Cell142","Cell142","Batch1","Group4",57400.3674810219,2,0.936147907830126,"topic_2","12",3,3
"Cell143","Cell143","Batch1","Group5",44300.3777019595,1,0.726886111798155,"topic_1","4",2,4
"Cell144","Cell144","Batch1","Group4",50499.3265684374,2,0.829231204431127,"topic_2","12",3,3
"Cell145","Cell145","Batch1","Group1",77419.4295642997,2,1.28509781060178,"topic_3","5",1,1
"Cell146","Cell146","Batch1","Group5",64292.938715835,2,1.05809029966083,"topic_1","4",2,2
"Cell147","Cell147","Batch1","Group5",45723.3751209474,2,0.7456477402107,"topic_1","4",2,2
"Cell148","Cell148","Batch1","Group3",67270.1685791374,2,1.10365893600606,"topic_4","10",4,5
"Cell149","Cell149","Batch1","Group4",55382.5001923553,1,0.915846023460569,"topic_2","12",3,3
"Cell150","Cell150","Batch1","Group3",56307.680084156,2,0.91065175603107,"topic_4","10",4,5
"Cell151","Cell151","Batch1","Group3",69302.960919894,2,1.14306654852324,"topic_4","10",4,5
"Cell152","Cell152","Batch1","Group3",68832.9771801796,1,1.12400997748063,"topic_4","10",4,5
"Cell153","Cell153","Batch1","Group5",81083.3522735608,1,1.34120245312104,"topic_1","4",2,2
"Cell154","Cell154","Batch1","Group4",46812.6291310203,2,0.769259536317666,"topic_2","12",3,3
"Cell155","Cell155","Batch1","Group5",60230.8219681603,2,0.968329425910682,"topic_1","4",2,2
"Cell156","Cell156","Batch1","Group1",62833.9289390089,2,1.03629731643927,"topic_3","5",1,1
"Cell157","Cell157","Batch1","Group3",62315.8110627056,2,0.996840546817082,"topic_4","10",4,5
"Cell158","Cell158","Batch1","Group1",73741.2446314356,2,1.21172263852198,"topic_3","5",1,1
"Cell159","Cell159","Batch1","Group3",49755.2320918406,2,0.810207404791857,"topic_4","10",4,5
"Cell160","Cell160","Batch1","Group3",52137.2314386842,2,0.861609350931728,"topic_4","10",4,5
"Cell161","Cell161","Batch1","Group1",75113.1400439173,2,1.23572769146904,"topic_3","5",1,1
"Cell162","Cell162","Batch1","Group1",70478.0240862109,2,1.15660113810294,"topic_3","5",1,1
"Cell163","Cell163","Batch1","Group1",67854.1385618308,2,1.09784201191309,"topic_3","5",1,1
"Cell164","Cell164","Batch1","Group1",59122.2137636786,2,0.975752148767348,"topic_3","5",1,1
"Cell165","Cell165","Batch1","Group1",69489.8315083431,2,1.13489008338973,"topic_3","5",1,1
"Cell166","Cell166","Batch1","Group1",66285.7204717399,2,1.08116136761268,"topic_3","5",1,1
"Cell167","Cell167","Batch1","Group4",63593.1840037535,2,1.04809502164192,"topic_2","12",3,3
"Cell168","Cell168","Batch1","Group5",54266.1177644746,1,0.894872325322528,"topic_1","4",2,2
"Cell169","Cell169","Batch1","Group5",55998.635370023,2,0.904720132026405,"topic_1","4",2,2
"Cell170","Cell170","Batch1","Group1",59560.7399508786,2,0.992072307631012,"topic_3","5",1,1
"Cell171","Cell171","Batch1","Group5",71912.5652086852,2,1.18144186183518,"topic_1","4",2,2
"Cell172","Cell172","Batch1","Group5",57940.7570689948,2,0.965052285576613,"topic_1","4",2,2
"Cell173","Cell173","Batch1","Group1",48724.5813075659,2,0.800703697823058,"topic_3","5",1,2
"Cell174","Cell174","Batch1","Group5",49369.2425760685,1,0.805783265340864,"topic_1","4",2,2
"Cell175","Cell175","Batch1","Group5",58465.547593159,2,0.941964831923098,"topic_1","4",2,2
"Cell176","Cell176","Batch1","Group3",68187.2101689926,1,1.12333816371214,"topic_4","10",4,5
"Cell177","Cell177","Batch1","Group5",67578.9511999426,2,1.10780451852866,"topic_1","4",2,2
"Cell178","Cell178","Batch1","Group1",83129.6344054029,2,1.37795558196763,"topic_3","5",1,2
"Cell179","Cell179","Batch1","Group5",56950.797740859,1,0.938114192030567,"topic_1","4",2,2
"Cell180","Cell180","Batch1","Group3",59338.6484055361,2,0.962578044624391,"topic_4","10",4,5
"Cell181","Cell181","Batch1","Group1",52356.4542152842,2,0.871031129392176,"topic_3","5",1,1
"Cell182","Cell182","Batch1","Group1",63772.0149953934,2,1.04899623523379,"topic_3","5",1,1
"Cell183","Cell183","Batch1","Group3",66346.0760974787,2,1.08430742233338,"topic_4","10",4,5
"Cell184","Cell184","Batch1","Group5",54044.8583175051,2,0.897248252064728,"topic_1","4",2,2
"Cell185","Cell185","Batch1","Group5",45777.237426623,1,0.748941266246439,"topic_1","4",2,2
"Cell186","Cell186","Batch1","Group4",50600.4441685444,2,0.837882854913069,"topic_2","12",3,3
"Cell187","Cell187","Batch1","Group1",61722.9676225055,2,1.0318076341816,"topic_3","5",1,1
"Cell188","Cell188","Batch1","Group4",54608.4735359898,2,0.899624178806928,"topic_2","12",3,3
"Cell189","Cell189","Batch1","Group1",80391.0156743157,2,1.30723489355842,"topic_3","5",1,1
"Cell190","Cell190","Batch1","Group1",65130.3149121822,2,1.04627620875651,"topic_3","5",1,1
"Cell191","Cell191","Batch1","Group1",62268.192702742,2,1.02372948325812,"topic_3","5",1,1
"Cell192","Cell192","Batch1","Group5",38926.334641748,2,0.634143040344005,"topic_1","4",2,2
"Cell193","Cell193","Batch1","Group4",72888.1662259075,1,1.19646755026689,"topic_2","12",3,3
"Cell194","Cell194","Batch1","Group5",54615.9827813725,2,0.891759042005162,"topic_1","4",2,2
"Cell195","Cell195","Batch1","Group1",75709.8410571726,2,1.23721879032104,"topic_3","5",1,1
"Cell196","Cell196","Batch1","Group1",63935.5212175953,2,1.04952057768724,"topic_3","5",1,1
"Cell197","Cell197","Batch1","Group1",41726.7414326936,2,0.685856314815612,"topic_3","5",1,1
"Cell198","Cell198","Batch1","Group3",66438.6860107437,2,1.05836885658923,"topic_4","10",4,5
"Cell199","Cell199","Batch1","Group1",63570.1361327486,2,1.03719853003114,"topic_3","5",1,2
"Cell200","Cell200","Batch1","Group5",63896.4095092208,2,1.04793116462522,"topic_1","4",2,2
"Cell201","Cell201","Batch1","Group5",65859.4261753208,2,1.0803748539325,"topic_1","4",2,2
"Cell202","Cell202","Batch1","Group5",68414.3779371716,2,1.11139298719446,"topic_1","4",2,4
"Cell203","Cell203","Batch1","Group5",49087.2185184957,2,0.796427029687098,"topic_1","4",2,2
"Cell204","Cell204","Batch1","Group5",60498.1008135877,2,0.987844796600063,"topic_1","4",2,2
"Cell205","Cell205","Batch1","Group1",48649.2119643317,2,0.797279086173955,"topic_3","5",1,1
"Cell206","Cell206","Batch1","Group1",64261.2380709011,2,1.06413662357719,"topic_3","5",1,1
"Cell207","Cell207","Batch1","Group5",55210.9139471879,2,0.90973415673753,"topic_1","4",2,2
"Cell208","Cell208","Batch1","Group3",91468.4169480803,2,1.51395690583149,"topic_4","10",4,5
"Cell209","Cell209","Batch1","Group5",58896.6045770644,2,0.953303737478976,"topic_1","4",2,2
"Cell210","Cell210","Batch1","Group4",52874.2045584503,2,0.866656147046194,"topic_2","12",3,3
"Cell211","Cell211","Batch1","Group4",64795.695743656,2,1.08024376831914,"topic_2","12",3,3
"Cell212","Cell212","Batch1","Group1",48929.9155388456,2,0.791052519539225,"topic_3","5",1,1
"Cell213","Cell213","Batch1","Group5",68220.0111491738,1,1.10986911693912,"topic_1","4",2,2
"Cell214","Cell214","Batch1","Group1",75357.0157239245,2,1.23816916101792,"topic_3","5",1,2
"Cell215","Cell215","Batch1","Group5",57112.1531611353,2,0.945241972257167,"topic_1","4",2,2
"Cell216","Cell216","Batch1","Group1",50794.4077801316,2,0.84076673840705,"topic_3","5",1,1
"Cell217","Cell217","Batch1","Group2",68724.4658853359,2,1.13462791216301,"topic_5","7",2,2
"Cell218","Cell218","Batch1","Group5",59876.6441417252,1,0.97868518936634,"topic_1","4",2,2
"Cell219","Cell219","Batch1","Group1",53535.3621713024,1,0.877831195585369,"topic_3","5",1,1
"Cell220","Cell220","Batch1","Group5",64536.0556817976,2,1.04925840646051,"topic_1","4",2,2
"Cell221","Cell221","Batch1","Group5",67166.4709455647,2,1.10493702073634,"topic_1","4",2,2
"Cell222","Cell222","Batch1","Group5",60280.679809948,2,0.982748843380586,"topic_1","4",2,2
"Cell223","Cell223","Batch1","Group1",72407.4709506561,2,1.19314125282781,"topic_3","5",1,1
"Cell224","Cell224","Batch1","Group5",84038.8829716083,2,1.36586293413491,"topic_1","4",2,2
"Cell225","Cell225","Batch1","Group2",69338.2333601496,2,1.12902400219175,"topic_5","7",2,4
"Cell226","Cell226","Batch1","Group4",55404.2810868788,2,0.897494037589783,"topic_2","12",3,3
"Cell227","Cell227","Batch1","Group5",63628.1167297158,2,1.04509643823625,"topic_1","4",2,2
"Cell228","Cell228","Batch1","Group1",58240.4536300668,2,0.948453569784554,"topic_3","5",1,1
"Cell229","Cell229","Batch1","Group3",51791.7767656698,2,0.833802815197153,"topic_4","10",4,5
"Cell230","Cell230","Batch1","Group5",53541.7703256742,2,0.877470710148622,"topic_1","4",2,2
"Cell231","Cell231","Batch1","Group5",52047.7761186298,2,0.850614545110927,"topic_1","4",2,4
"Cell232","Cell232","Batch1","Group1",64203.9911843554,2,1.05165071890438,"topic_3","5",1,1
"Cell233","Cell233","Batch1","Group1",67589.9178818384,2,1.08365199426657,"topic_3","5",1,1
"Cell234","Cell234","Batch1","Group5",58388.3497272591,1,0.964446014614811,"topic_1","4",2,2
"Cell235","Cell235","Batch1","Group5",55079.2298633361,2,0.902016491250798,"topic_1","4",2,2
"Cell236","Cell236","Batch1","Group3",75393.180223005,2,1.2138691654408,"topic_4","10",4,5
"Cell237","Cell237","Batch1","Group5",42569.6348570137,2,0.682710260094906,"topic_1","4",2,2
"Cell238","Cell238","Batch1","Group1",50662.8266883769,2,0.822529452447956,"topic_3","5",1,1
"Cell239","Cell239","Batch1","Group5",69891.2459413732,2,1.15692885213635,"topic_1","4",2,2
"Cell240","Cell240","Batch1","Group5",82097.256827213,2,1.33037150431695,"topic_1","4",2,2
"Cell241","Cell241","Batch1","Group4",53997.5375229689,2,0.88928480105294,"topic_2","12",3,3
"Cell242","Cell242","Batch1","Group4",43424.4761722287,2,0.720626773760084,"topic_2","12",3,3
"Cell243","Cell243","Batch1","Group3",75622.9940601,2,1.23600624839743,"topic_4","10",4,5
"Cell244","Cell244","Batch1","Group5",69030.1737892166,2,1.13923229433238,"topic_1","4",2,2
"Cell245","Cell245","Batch1","Group1",51512.284900354,2,0.828592162065984,"topic_3","5",1,1
"Cell246","Cell246","Batch1","Group1",50719.8993617178,2,0.820628711054196,"topic_3","5",1,1
"Cell247","Cell247","Batch1","Group1",49572.9001445908,2,0.826265392428795,"topic_3","5",1,1
"Cell248","Cell248","Batch1","Group3",46994.7614920481,2,0.770127978506195,"topic_4","10",4,5
"Cell249","Cell249","Batch1","Group2",56356.2318370064,2,0.922400304128707,"topic_5","7",2,4
"Cell250","Cell250","Batch1","Group5",60355.3341094563,2,0.992875207012858,"topic_1","4",2,2
"Cell251","Cell251","Batch1","Group5",72031.7013089869,2,1.18943808425031,"topic_1","4",2,2
"Cell252","Cell252","Batch1","Group3",60084.7567866599,2,0.980225445323353,"topic_4","10",4,5
"Cell253","Cell253","Batch1","Group2",59555.6766189549,2,0.968034483280616,"topic_5","7",2,4
"Cell254","Cell254","Batch1","Group5",68611.7095518,1,1.1129168574498,"topic_1","4",2,2
"Cell255","Cell255","Batch1","Group3",63032.0464238484,2,1.04118025553703,"topic_4","10",4,5
"Cell256","Cell256","Batch1","Group1",84063.0120464452,2,1.3696808026241,"topic_3","5",1,1
"Cell257","Cell257","Batch1","Group1",46766.994388044,2,0.759690286542185,"topic_3","5",1,1
"Cell258","Cell258","Batch1","Group5",51573.0461272601,2,0.848336932578749,"topic_1","4",2,2
"Cell259","Cell259","Batch1","Group3",58553.6443472215,2,0.954155793965834,"topic_4","10",4,5
"Cell260","Cell260","Batch1","Group1",63980.2800190977,2,1.05817222816918,"topic_3","5",1,2
"Cell261","Cell261","Batch1","Group5",49438.6532965023,2,0.810485961720253,"topic_1","4",2,2
"Cell262","Cell262","Batch1","Group5",46527.9460598401,1,0.783285696947481,"topic_1","4",2,4
"Cell263","Cell263","Batch1","Group5",97834.937260973,1,1.61661332679619,"topic_1","4",2,2
"Cell264","Cell264","Batch1","Group1",66678.276571163,2,1.07676999956502,"topic_3","5",1,1
"Cell265","Cell265","Batch1","Group5",54879.9181638028,1,0.909766928140871,"topic_1","4",2,4
"Cell266","Cell266","Batch1","Group3",44917.8465606781,2,0.738192245950693,"topic_4","10",4,5
"Cell267","Cell267","Batch1","Group1",99610.263596384,2,1.66029760744933,"topic_3","5",1,1
"Cell268","Cell268","Batch1","Group5",49581.0236123962,2,0.808781848746537,"topic_1","4",2,2
"Cell269","Cell269","Batch1","Group5",65744.5850376573,1,1.08216089541457,"topic_1","4",2,2
"Cell270","Cell270","Batch1","Group1",57329.8563841817,2,0.952156738362052,"topic_3","5",1,1
"Cell271","Cell271","Batch1","Group1",62070.3306324519,2,1.01189900665213,"topic_3","5",1,1
"Cell272","Cell272","Batch1","Group4",78002.9764424468,2,1.29769841518628,"topic_2","12",3,3
"Cell273","Cell273","Batch1","Group1",54337.1053005334,1,0.877159381816885,"topic_3","5",1,1
"Cell274","Cell274","Batch1","Group5",59567.8087982814,2,0.97870157506801,"topic_1","4",2,2
"Cell275","Cell275","Batch1","Group5",89193.7045217096,1,1.44946278405701,"topic_1","4",2,2
"Cell276","Cell276","Batch1","Group5",57403.2759903408,2,0.934869823099839,"topic_1","4",2,2
"Cell277","Cell277","Batch1","Group5",65994.617918359,2,1.08615900662213,"topic_1","4",2,2
"Cell278","Cell278","Batch1","Group2",76729.248245845,1,1.25807778854739,"topic_5","7",2,2
